iter	Passed	Remaining
859	75374	12270
860	75475	12184
861	75591	12101
862	75668	12012
863	75744	11922
864	75840	11836
865	75929	11748
866	76022	11662
867	76106	11573
868	76177	11483
869	76279	11398
870	76456	11323
871	76530	11233
872	76621	11146
873	76755	11065
874	76850	10978
875	76951	10892
876	77025	10802
877	77107	10714
878	77179	10624
879	77238	10532
880	77319	10443
881	77403	10355
882	77469	10264
883	77543	10175
884	77708	10097
885	77816	10012
886	77939	9929
887	78019	9840
888	78088	9750
889	78183	9663
890	78265	9574
891	78334	9484
892	78422	9396
893	78507	9308
894	78593	9220
895	78664	9130
896	78740	9041
897	78813	8952
898	78906	8864
899	78978	8775
900	79093	8690
901	79168	8601
902	79251	8513
903	79356	8427
904	79457	8340
905	79592	8257
906	79671	8169
907	79771	8082
908	79869	7995
909	79965	7908
910	80054	7820
911	80147	7733
912	80217	7643
913	80307	7556
914	80398	7468
915	80468	7379
916	80547	7290
917	80612	7200
918	80687	7111
919	80754	7022
920	80825	6932
921	80900	6844
922	80967	6754
923	81040	6665
924	81111	6576
925	81183	6487
926	81248	6398
927	81313	6308
928	81389	6220
929	81458	6131
930	81550	6044
931	81637	5956
932	81761	5871
933	81843	5783
934	81910	5694
935	82003	5607
936	82159	5524
937	82227	5435
938	82300	5346
939	82366	5257
940	82441	5169
941	82517	5080
942	82587	4992
943	82650	4903
944	82715	4814
945	82786	4725
946	82854	4637
947	82946	4549
948	83014	4461
949	83084	4372
950	83174	4285
951	83247	4197
952	83315	4108
953	83397	4021
954	83458	3932
955	83525	3844
956	83596	3756
957	83671	3668
958	83741	3580
959	83832	3493
960	83900	3404
961	83964	3316
962	84040	3228
963	84115	3141
964	84184	3053
965	84247	2965
966	84321	2877
967	84394	2789
968	84479	2702
969	84554	2615
970	84632	2527
971	84703	2440
972	84771	2352
973	84839	2264
974	84908	2177
975	84975	2089
976	85034	2001
977	85096	1914
978	85166	1826
979	85236	1739
980	85297	1652
981	85352	1564
982	85416	1477
983	85503	1390
984	85576	1303
985	85669	1216
986	85738	1129
987	85793	1042
988	85846	954
989	85908	867
990	85964	780
991	86024	693
992	86077	606
993	86157	520
994	86236	433
995	86297	346
996	86358	259
997	86420	173
998	86476	86
999	86535	0
